name,rating,genre,year,score,director,writer,star,budget,gross,runtime
Oh Heavenly Dog,PG,Comedy,1980,5.4,Joe Camp,Rod Browning,Chevy Chase,6000000,6216067,103
The Octagon,R,Action,1980,5.1,Eric Karson,Leigh Chapman,Chuck Norris,4000000,18971000,103
Hangar 18,PG,Sci-Fi,1980,5.3,James L. Conway,Ken Pettus,Darren McGavin,11000000,,97
Herbie Goes Bananas,G,Adventure,1980,5,Vincent McEveety,Don Tait,Charles Martin Smith,,18000000,100
The Competition,PG,Drama,1980,6.7,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,,14287755,123
It's My Turn,R,Comedy,1980,5.5,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,,,91
Honeysuckle Rose,PG,Drama,1980,6.3,Jerry Schatzberg,Gösta Stevens,Willie Nelson,,17815212,119
Resurrection,PG,Drama,1980,7.3,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,,3910019,103
Fatso,PG,Comedy,1980,6.3,Anne Bancroft,Anne Bancroft,Dom DeLuise,,7653061,93
Moscow Does Not Believe in Tears,PG,Comedy,1980,8.1,Vladimir Menshov,Valentin Chernykh,Vera Alentova,900000,,150
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,5.1,Piers Haggard,Rudy Dochtermann,Peter Sellers,,10697276,100
Serial,R,Comedy,1980,6.6,Bill Persky,Cyra McFadden,Martin Mull,,9870727,86
Hero at Large,PG,Comedy,1980,6,Martin Davidson,AJ Carothers,John Ritter,,15934737,98
Wholly Moses!,PG,Comedy,1980,4.7,Gary Weis,Guy Thomas,Dudley Moore,,14155617,103
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,7.3,Bill Melendez,Charles M. Schulz,Scott Beach,,2013193,75
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,5.5,Marty Feldman,Marty Feldman,Marty Feldman,,5215015,97
Roadie,PG,Comedy,1980,5.2,Alan Rudolph,Big Boy Medlin,Meat Loaf,,4226370,106
Just Tell Me What You Want,R,Comedy,1980,5.5,Sidney Lumet,Jay Presson Allen,Ali MacGraw,,2086905,112
The Last Flight of Noah's Ark,G,Adventure,1980,5.8,Charles Jarrott,Ernest K. Gann,Elliott Gould,6000000,11000000,97
Little Miss Marker,PG,Comedy,1980,6.3,Walter Bernstein,Damon Runyon,Walter Matthau,,6321392,103
Willie & Phil,R,Comedy,1980,5.9,Paul Mazursky,Jean Gruault,Michael Ontkean,5500000,4400000,115
Babylon,,Drama,1980,7.4,Franco Rosso,Franco Rosso,David N. Haynes,,109749,95
Windwalker,PG,Adventure,1980,6.9,Kieth Merrill,Ray Goldrup,Trevor Howard,3000000,,108
Phobia,R,Drama,1980,4,John Huston,Gary Sherman,Paul Michael Glaser,5100000,59167,94
Windows,R,Drama,1980,4.8,Gordon Willis,Barry Siegel,Talia Shire,,2128395,96
Loving Couples,PG,Comedy,1980,5.2,Jack Smight,Martin Donovan,Shirley MacLaine,,2806659,97
The King and the Mockingbird,Not Rated,Animation,1980,7.9,Paul Grimault,Hans Christian Andersen,Jean Martin,,167451,83
"Oh, God! Book II",PG,Comedy,1980,5.2,Gilbert Cates,Josh Greenfeld,George Burns,,14504277,94
"Those Lips, Those Eyes",R,Comedy,1980,6.5,Michael Pressman,David Shaber,Frank Langella,,804713,105
La Cage aux Folles II,R,Comedy,1980,5.8,Édouard Molinaro,Jean Poiret,Michel Serrault,,6950125,102
The Gong Show Movie,R,Comedy,1980,4.3,Chuck Barris,Chuck Barris,Chuck Barris,,6621520,89
Gilda Live,R,Comedy,1980,6.8,Mike Nichols,Anne Beatts,Gilda Radner,,2261507,96
Why Would I Lie?,PG,Comedy,1980,6.5,Larry Peerce,Hollis Hodges,Treat Williams,,1175855,105
First Family,R,Comedy,1980,4.3,Buck Henry,Buck Henry,Bob Newhart,,15198912,97
Mantis Fist Fighter,,Action,1980,6.7,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,,,89
Indiana Jones and the Raiders of the Lost Ark,PG,Action,1981,8.4,Steven Spielberg,Lawrence Kasdan,Harrison Ford,18000000,389925971,115
Body Heat,R,Crime,1981,7.4,Lawrence Kasdan,Lawrence Kasdan,William Hurt,,24058838,113
An American Werewolf in London,R,Comedy,1981,7.5,John Landis,John Landis,David Naughton,10000000,30669378,97
Escape from New York,R,Action,1981,7.2,John Carpenter,John Carpenter,Kurt Russell,6000000,25244626,99
The Evil Dead,NC-17,Horror,1981,7.5,Sam Raimi,Sam Raimi,Bruce Campbell,350000,2956630,85
Porky's,R,Comedy,1981,6.2,Bob Clark,Bob Clark,Dan Monahan,2500000,111289673,94
Blow Out,R,Crime,1981,7.4,Brian De Palma,Brian De Palma,John Travolta,18000000,12000000,108
Clash of the Titans,PG,Action,1981,6.9,Desmond Davis,Beverley Cross,Laurence Olivier,15000000,41092328,118
Excalibur,R,Adventure,1981,7.4,John Boorman,Thomas Malory,Nigel Terry,11000000,34971136,140
Mad Max 2,R,Action,1981,7.6,George Miller,Terry Hayes,Mel Gibson,3000000,23668369,96
Das Boot,,Adventure,1981,8.3,Wolfgang Petersen,Wolfgang Petersen,Jürgen Prochnow,,11487676,149
Stripes,R,Comedy,1981,6.9,Ivan Reitman,Len Blum,Bill Murray,10000000,85297000,106
Possession,R,Drama,1981,7.4,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,,1113538,124
The Cannonball Run,PG,Action,1981,6.2,Hal Needham,Brock Yates,Burt Reynolds,18000000,72179579,95
Thief,R,Action,1981,7.4,Michael Mann,Frank Hohimer,James Caan,5500000,11492915,123
Endless Love,R,Drama,1981,4.9,Franco Zeffirelli,Scott Spencer,Brooke Shields,,32492674,116
Time Bandits,PG,Adventure,1981,7,Terry Gilliam,Michael Palin,Sean Connery,5000000,42368025,110
The Four Seasons,PG,Comedy,1981,6.8,Alan Alda,Alan Alda,Alan Alda,,50427646,107
Friday the 13th Part 2,R,Horror,1981,6.1,Steve Miner,Ron Kurz,Betsy Palmer,1250000,21722776,87
Scanners,R,Horror,1981,6.8,David Cronenberg,David Cronenberg,Jennifer O'Neill,,14225876,103
For Your Eyes Only,PG,Action,1981,6.7,John Glen,Richard Maibaum,Roger Moore,28000000,54813222,127
Halloween II,R,Horror,1981,6.5,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,2500000,25533818,92
Taps,PG,Drama,1981,6.8,Harold Becker,Darryl Ponicsan,George C. Scott,14000000,35856053,126
Reds,PG,Biography,1981,7.3,Warren Beatty,Warren Beatty,Warren Beatty,32000000,40382659,195
On Golden Pond,PG,Drama,1981,7.6,Mark Rydell,Ernest Thompson,Katharine Hepburn,,119285432,109
The Fox and the Hound,G,Animation,1981,7.3,Directors,Daniel P. Mannix,Mickey Rooney,12000000,63456988,83
Chariots of Fire,PG,Biography,1981,7.2,Hugh Hudson,Colin Welland,Ben Cross,5500000,59303359,125
Absence of Malice,PG,Drama,1981,6.9,Sydney Pollack,Kurt Luedtke,Paul Newman,12000000,40716963,116
Tarzan the Ape Man,Approved,Adventure,1981,3.4,John Derek,Tom Rowe,Bo Derek,6500000,36565280,115
Victory,PG,Drama,1981,6.7,John Huston,Yabo Yablonsky,Michael Caine,10000000,10853418,116
Arthur,PG,Comedy,1981,6.9,Steve Gordon,Steve Gordon,Dudley Moore,7000000,95461682,97
My Dinner with Andre,PG,Biography,1981,7.8,Louis Malle,Wallace Shawn,Andre Gregory,,5073,110
Caveman,PG,Comedy,1981,5.8,Carl Gottlieb,Rudy De Luca,Ringo Starr,,15965924,91
Dead & Buried,R,Horror,1981,6.6,Gary Sherman,Jeff Millar,James Farentino,3000000,,94
