name,rating,genre,year,score,director,writer,star,budget,gross,runtime
Talk Radio,R,Drama,1988,7.3,Oliver Stone,Stephen Singular,Eric Bogosian,4000000,3468572,110
Satisfaction,PG-13,Comedy,1988,4.9,Joan Freeman,Charles Purpura,Justine Bateman,,8253123,92
The Bear,PG,Adventure,1988,7.7,Jean-Jacques Annaud,James Oliver Curwood,Tchéky Karyo,,31753898,96
The Milagro Beanfield War,R,Comedy,1988,6.9,Robert Redford,John Nichols,Rubén Blades,22000000,13825794,117
18 Again!,PG,Comedy,1988,5.7,Paul Flaherty,Josh Goldstein,Charlie Schlatter,,2567099,93
Vice Versa,PG,Comedy,1988,5.9,Brian Gilbert,Dick Clement,Judge Reinhold,,13664060,98
Fresh Horses,PG-13,Drama,1988,5.1,David Anspaugh,Larry Ketron,Molly Ringwald,14000000,6640346,105
Bat*21,R,Drama,1988,6.5,Peter Markle,William C. Anderson,Gene Hackman,,3966256,105
Casual Sex?,R,Comedy,1988,5,Geneviève Robert,Wendy Goldman,Lea Thompson,,12277096,97
Jack's Back,R,Crime,1988,5.9,Rowdy Herrington,Rowdy Herrington,James Spader,1000000,,97
Bird,R,Biography,1988,7.2,Clint Eastwood,Joel Oliansky,Forest Whitaker,9000000,2181286,161
Stealing Home,PG-13,Drama,1988,6.7,Steven Kampmann,Steven Kampmann,Mark Harmon,,7467504,98
Salaam Bombay!,Not Rated,Crime,1988,8,Mira Nair,Mira Nair,Shafiq Syed,,2080758,113
Young Einstein,PG,Comedy,1988,5.2,Yahoo Serious,Yahoo Serious,Yahoo Serious,,11536599,91
Punchline,R,Comedy,1988,5.9,David Seltzer,David Seltzer,Sally Field,15000000,21042667,128
Return to Snowy River,PG,Adventure,1988,6.6,Geoff Burrowes,John Dixon,Tom Burlinson,,13687027,99
Moving,R,Comedy,1988,6.2,Alan Metter,Andy Breckman,Richard Pryor,,10815378,89
And God Created Woman,R,Comedy,1988,4.3,Roger Vadim,R.J. Stewart,Rebecca De Mornay,,717376,100
High Hopes,PG,Comedy,1988,7.4,Mike Leigh,Mike Leigh,Phil Davis,,1192322,108
Little Nikita,PG,Drama,1988,6,Richard Benjamin,John Hill,Sidney Poitier,15000000,1733070,98
Camille Claudel,R,Biography,1988,7.3,Bruno Nuytten,Reine-Marie Paris,Isabelle Adjani,,3331297,175
Torch Song Trilogy,R,Comedy,1988,7.7,Paul Bogart,Harvey Fierstein,Anne Bancroft,,4870903,120
Vibes,PG,Adventure,1988,5.7,Ken Kwapis,Deborah Blum,Cyndi Lauper,18000000,1883811,99
36 fillette,,Romance,1988,6,Catherine Breillat,Catherine Breillat,Delphine Zentout,,,88
D.O.A.,R,Mystery,1988,6.2,Annabel Jankel,Charles Edward Pogue,Dennis Quaid,,12706478,96
Braddock: Missing in Action III,R,Action,1988,4.9,Aaron Norris,Arthur Silver,Chuck Norris,,6193901,103
Red Scorpion,R,Action,1988,5.2,Joseph Zito,Robert Abramoff,Dolph Lundgren,16000000,4192440,105
Drowning by Numbers,R,Comedy,1988,7.2,Peter Greenaway,Peter Greenaway,Bernard Hill,,424773,118
Watchers,R,Action,1988,5.4,Jon Hess,Dean R. Koontz,Corey Haim,,940173,91
Rocket Gibraltar,PG,Drama,1988,6.6,Daniel Petrie,Amos Poe,Burt Lancaster,3000000,187349,99
The Unholy,R,Horror,1988,5,Camilo Vila,Philip Yordan,Ben Cross,,6337299,102
Not of This Earth,R,Comedy,1988,4.9,Jim Wynorski,R.J. Robertson,Traci Lords,210000,,81
A New Life,PG-13,Comedy,1988,5.8,Alan Alda,Alan Alda,Alan Alda,,7721852,104
1969,R,Drama,1988,5.8,Ernest Thompson,Ernest Thompson,Robert Downey Jr.,7000000,5979011,95
Arthur 2: on the Rocks,PG,Comedy,1988,4.6,Bud Yorkin,Steve Gordon,Dudley Moore,,14681192,113
Messenger of Death,R,Action,1988,5.5,J. Lee Thompson,Rex Burns,Charles Bronson,,3074681,91
Memories of Me,PG-13,Comedy,1988,5.7,Henry Winkler,Eric Roth,Billy Crystal,12000000,3965604,105
Chocolat,PG-13,Drama,1988,7.3,Claire Denis,Claire Denis,Isaach De Bankolé,,2319801,105
The Couch Trip,R,Comedy,1988,5.8,Michael Ritchie,Ken Kolb,Dan Aykroyd,19000000,11005304,97
Without a Clue,PG,Comedy,1988,7,Thom Eberhardt,Gary Murphy,Michael Caine,,8539181,107
Bad Dreams,R,Horror,1988,5.6,Andrew Fleming,Andrew Fleming,Jennifer Rubin,4000000,9797098,80
Another Woman,PG,Drama,1988,7.3,Woody Allen,Woody Allen,Gena Rowlands,10000000,1562749,81
Paperhouse,PG-13,Drama,1988,6.7,Bernard Rose,Catherine Storr,Charlotte Burke,,241278,92
Sunset,R,Crime,1988,5.7,Blake Edwards,Rod Amateau,Bruce Willis,16000000,4594452,102
Cop,R,Crime,1988,6.4,James B. Harris,James Ellroy,James Woods,3000000,1984315,110
Pulse,PG-13,Horror,1988,5.4,Paul Golding,Paul Golding,Cliff De Young,6000000,40397,91
Stormy Monday,R,Crime,1988,6.2,Mike Figgis,Mike Figgis,Melanie Griffith,4000000,1791328,93
Heart of Midnight,R,Drama,1988,5.4,Matthew Chapman,Matthew Chapman,Jennifer Jason Leigh,,,93
Switching Channels,PG,Comedy,1988,5.9,Ted Kotcheff,Ben Hecht,Kathleen Turner,18000000,9129999,105
Miles from Home,R,Action,1988,5.7,Gary Sinise,Chris Gerolmo,Richard Gere,,188964,108
Clean and Sober,R,Drama,1988,6.7,Glenn Gordon Caron,Tod Carroll,Michael Keaton,,8674093,124
Crossing Delancey,PG,Comedy,1988,6.9,Joan Micklin Silver,Susan Sandler,Amy Irving,4000000,16262415,97
Things Change,PG,Comedy,1988,7,David Mamet,David Mamet,Don Ameche,,3527886,100
Kansas,R,Crime,1988,5.5,David Stevens,Spencer Eastman,Matt Dillon,,2432536,108
Hot to Trot,PG,Comedy,1988,4.4,Michael Dinner,Stephen Neigher,Bobcat Goldthwait,,6436211,83
Shakedown,R,Action,1988,6,James Glickenhaus,James Glickenhaus,Peter Weller,6000000,10068039,97
976-EVIL,R,Comedy,1988,5.1,Robert Englund,Rhet Topham,Stephen Geoffreys,,2955917,92
Pascali's Island,PG-13,Drama,1988,6.8,James Dearden,James Dearden,Ben Kingsley,,1451857,104
Everybody's All-American,R,Drama,1988,6.2,Taylor Hackford,Frank Deford,Jessica Lange,22000000,12638294,127
Heartbreak Hotel,PG-13,Comedy,1988,5.7,Chris Columbus,Chris Columbus,David Keith,13000000,5509417,97
The Chocolate War,R,Drama,1988,6.7,Keith Gordon,Robert Cormier,John Glover,,303624,100
It Takes Two,PG-13,Comedy,1988,5.4,David Beaird,Richard Christian Matheson,George Newbern,,344375,81
Iron Eagle II,PG,Action,1988,3.8,Sidney J. Furie,Kevin Alyn Elders,Louis Gossett Jr.,,10497324,105
Party Line,R,Thriller,1988,4.9,William Webb,Richard Brandes,Richard Hatch,,,91
The Kiss,R,Drama,1988,5.4,Pen Densham,Tom Ropelewski,Joanna Pacula,6000000,1869148,101
Spellbinder,R,Drama,1988,5.8,Janet Greek,Tracy Tormé,Tim Daly,6000000,657446,99
Patty Hearst,R,Biography,1988,6.3,Paul Schrader,Patricia Hearst,Natasha Richardson,,1223326,108
A Handful of Dust,PG,Drama,1988,6.6,Charles Sturridge,Evelyn Waugh,James Wilby,,1560700,118
Criminal Law,R,Crime,1988,5.7,Martin Campbell,Mark Kasdan,Gary Oldman,,9974446,117
A Summer Story,PG-13,Drama,1988,7.3,Piers Haggard,John Galsworthy,Imogen Stubbs,,,95
Platoon Leader,R,Drama,1988,5.4,Aaron Norris,Andrew Deutsch,Tony Pierce,,1348771,97
The Girl in a Swing,R,Drama,1988,5.4,Gordon Hessler,Richard Adams,Meg Tilly,,747013,119
Permanent Record,PG-13,Drama,1988,6.4,Marisa Silver,Jarre Fees,Alan Boyce,8000000,1893139,91
Hero and the Terror,R,Action,1988,5.3,William Tannen,Michael Blodgett,Chuck Norris,,5301200,96
Illegally Yours,PG,Comedy,1988,4.2,Peter Bogdanovich,Michael Kaplan,Rob Lowe,13000000,259019,102
Track 29,R,Drama,1988,5.9,Nicolas Roeg,Dennis Potter,Theresa Russell,5000000,429028,90
"Distant Voices, Still Lives",PG-13,Drama,1988,7.4,Terence Davies,Terence Davies,Pete Postlethwaite,,771745,84
Ernest Saves Christmas,PG,Comedy,1988,5.6,John R. Cherry III,Ed Turner,Jim Varney,6000000,28202109,95
Feds,PG-13,Comedy,1988,5.4,Daniel Goldberg,Len Blum,Rebecca De Mornay,,3838793,82
Moon Over Parador,PG-13,Comedy,1988,6,Paul Mazursky,Charles G. Booth,Richard Dreyfuss,20000000,11444204,103
Salome's Last Dance,R,Biography,1988,6.5,Ken Russell,Oscar Wilde,Glenda Jackson,,,89
Off Limits,R,Action,1988,6.2,Christopher Crowe,Christopher Crowe,Willem Dafoe,12000000,7242035,102
Tapeheads,R,Comedy,1988,5.7,Bill Fishman,Bill Fishman,John Cusack,3000000,343786,93
Apartment Zero,R,Drama,1988,7,Martin Donovan,Martin Donovan,Hart Bochner,4000000,1267578,124
The Good Mother,R,Drama,1988,5.7,Leonard Nimoy,Michael Bortman,Diane Keaton,14000000,4764606,103
Indiana Jones and the Last Crusade,PG-13,Action,1989,8.2,Steven Spielberg,Jeffrey Boam,Harrison Ford,48000000,474171806,127
Road House,R,Action,1989,6.6,Rowdy Herrington,R. Lance Hill,Patrick Swayze,17000000,30050028,114
Batman,PG-13,Action,1989,7.5,Tim Burton,Bob Kane,Michael Keaton,35000000,411508343,126
Bill & Ted's Excellent Adventure,PG,Adventure,1989,7,Stephen Herek,Chris Matheson,Keanu Reeves,10000000,40508994,90
Field of Dreams,PG,Drama,1989,7.5,Phil Alden Robinson,W.P. Kinsella,Kevin Costner,,84431625,107
Dead Poets Society,PG,Comedy,1989,8.1,Peter Weir,Tom Schulman,Robin Williams,16400000,235860116,128
The Little Mermaid,G,Animation,1989,7.6,Ron Clements,John Musker,Jodi Benson,40000000,211343479,83
The Abyss,PG-13,Adventure,1989,7.5,James Cameron,James Cameron,Ed Harris,70000000,90000098,140
Back to the Future Part II,PG,Adventure,1989,7.8,Robert Zemeckis,Robert Zemeckis,Michael J. Fox,40000000,332500002,108
Do the Right Thing,R,Comedy,1989,8,Spike Lee,Spike Lee,Danny Aiello,6500000,37295445,120
"Honey, I Shrunk the Kids",PG,Adventure,1989,6.4,Joe Johnston,Stuart Gordon,Rick Moranis,18000000,222724172,93
Turner & Hooch,PG,Comedy,1989,6.2,Roger Spottiswoode,Dennis Shryack,Tom Hanks,13000000,71079915,97
Weekend at Bernie's,PG-13,Adventure,1989,6.4,Ted Kotcheff,Robert Klane,Andrew McCarthy,,30218387,97
The Karate Kid Part III,PG,Action,1989,5.3,John G. Avildsen,Robert Mark Kamen,Ralph Macchio,,38956288,112
"Sex, Lies, and Videotape",R,Drama,1989,7.2,Steven Soderbergh,Steven Soderbergh,James Spader,1200000,24741667,100
When Harry Met Sally...,R,Comedy,1989,7.6,Rob Reiner,Nora Ephron,Billy Crystal,16000000,93232006,95
Major League,R,Comedy,1989,7.2,David S. Ward,David S. Ward,Tom Berenger,11000000,49797148,107
Steel Magnolias,PG,Comedy,1989,7.3,Herbert Ross,Robert Harling,Shirley MacLaine,15000000,96759512,117
Pet Sematary,R,Fantasy,1989,6.6,Mary Lambert,Stephen King,Dale Midkiff,11500000,57470138,103
Uncle Buck,PG,Comedy,1989,7,John Hughes,John Hughes,John Candy,15000000,79258538,100
Ghostbusters II,PG,Action,1989,6.6,Ivan Reitman,Dan Aykroyd,Bill Murray,37000000,215394738,108
Tango & Cash,R,Action,1989,6.4,Andrey Konchalovskiy,Randy Feldman,Sylvester Stallone,55000000,63408614,104
Born on the Fourth of July,R,Biography,1989,7.2,Oliver Stone,Ron Kovic,Tom Cruise,14000000,161001698,145
Glory,R,Biography,1989,7.8,Edward Zwick,Kevin Jarre,Matthew Broderick,18000000,26979166,122
Parenthood,PG-13,Comedy,1989,7,Ron Howard,Lowell Ganz,Steve Martin,20000000,126297830,124
Lethal Weapon 2,R,Action,1989,7.2,Richard Donner,Jeffrey Boam,Mel Gibson,28000000,227853986,114
National Lampoon's Christmas Vacation,PG-13,Comedy,1989,7.6,Jeremiah S. Chechik,John Hughes,Chevy Chase,27000000,73594646,97
The 'Burbs,PG,Comedy,1989,6.9,Joe Dante,Dana Olsen,Tom Hanks,18000000,49101993,102
Say Anything,PG-13,Comedy,1989,7.3,Cameron Crowe,Cameron Crowe,John Cusack,,21515196,100
License to Kill,PG-13,Action,1989,6.6,John Glen,Michael G. Wilson,Timothy Dalton,32000000,156167015,133
Shirley Valentine,R,Comedy,1989,7.2,Lewis Gilbert,Willy Russell,Pauline Collins,,6056912,108
Harlem Nights,R,Comedy,1989,6.1,Eddie Murphy,Eddie Murphy,Eddie Murphy,30000000,60864870,116
Lock Up,R,Action,1989,6.4,John Flynn,Richard Smith,Sylvester Stallone,24000000,22099847,109
"The Cook, the Thief, His Wife & Her Lover",X,Crime,1989,7.6,Peter Greenaway,Peter Greenaway,Richard Bohringer,,7724701,124
Warlock,R,Action,1989,6.2,Steve Miner,David Twohy,Julian Sands,7000000,9094451,103
"See No Evil, Hear No Evil",R,Comedy,1989,6.9,Arthur Hiller,Earl Barret,Richard Pryor,18000000,46908987,103
Casualties of War,R,Action,1989,7.1,Brian De Palma,Daniel Lang,Michael J. Fox,22500000,18671317,113
The Package,R,Action,1989,6.4,Andrew Davis,John Bishop,Gene Hackman,18000000,10647219,108
My Left Foot,R,Biography,1989,7.9,Jim Sheridan,Shane Connaughton,Daniel Day-Lewis,,14743391,103
The War of the Roses,R,Comedy,1989,6.8,Danny DeVito,Warren Adler,Michael Douglas,26000000,160188546,116
Wild Orchid,R,Drama,1989,4.6,Zalman King,Patricia Louisianna Knop,Mickey Rourke,,11060485,105
Little Monsters,PG,Adventure,1989,6.1,Richard Greenberg,Terry Rossio,Fred Savage,,793775,100
The Wizard,PG,Adventure,1989,6.1,Todd Holland,David Chisholm,Fred Savage,6000000,14278900,100
UHF,PG-13,Comedy,1989,7,Jay Levey,'Weird Al' Yankovic,'Weird Al' Yankovic,5000000,6157157,97
Look Who's Talking,PG-13,Comedy,1989,5.9,Amy Heckerling,Amy Heckerling,John Travolta,7500000,296999813,93
Star Trek V: The Final Frontier,PG,Action,1989,5.5,William Shatner,Gene Roddenberry,William Shatner,27800000,52210049,107
Tie Me Up! Tie Me Down!,NC-17,Comedy,1989,7,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril,,4088140,101
All Dogs Go to Heaven,G,Animation,1989,6.8,Don Bluth,Don Bluth,Dom DeLuise,13800000,27100027,84
Cyborg,R,Action,1989,5.1,Albert Pyun,Albert Pyun,Jean-Claude Van Damme,500000,10166459,86
Always,PG,Drama,1989,6.4,Steven Spielberg,Jerry Belson,Richard Dreyfuss,31000000,74134790,122
Leviathan,R,Adventure,1989,5.8,George P. Cosmatos,David Webb Peoples,Peter Weller,25000000,15704614,98
Best of the Best,PG-13,Action,1989,6.4,Robert Radler,Phillip Rhee,Eric Roberts,5000000,1700000,97
Dead Calm,R,Horror,1989,6.8,Phillip Noyce,Terry Hayes,Nicole Kidman,10400000,7825009,96
Kickboxer,R,Action,1989,6.5,Mark DiSalle,Mark DiSalle,Jean-Claude Van Damme,1500000,14697005,97
Black Rain,R,Action,1989,6.6,Ridley Scott,Craig Bolotin,Michael Douglas,30000000,134212055,125
Troop Beverly Hills,PG,Adventure,1989,5.8,Jeff Kanew,Ava Ostern Fries,Shelley Long,18000000,8508843,105
Driving Miss Daisy,PG,Drama,1989,7.4,Bruce Beresford,Alfred Uhry,Morgan Freeman,7500000,145793296,99
Drugstore Cowboy,R,Crime,1989,7.3,Gus Van Sant,James Fogle,Matt Dillon,2500000,4729352,101
A Nightmare on Elm Street 5: The Dream Child,R,Fantasy,1989,5.1,Stephen Hopkins,Wes Craven,Robert Englund,6000000,22168359,89
Dream a Little Dream,PG-13,Comedy,1989,5.8,Marc Rocco,Daniel Jay Franklin,Corey Feldman,,5552441,114
Halloween 5: The Revenge of Michael Myers,R,Horror,1989,5.1,Dominique Othenin-Girard,John Carpenter,Donald Pleasence,5000000,11642254,96
DeepStar Six,R,Action,1989,5.4,Sean S. Cunningham,Lewis Abernathy,Greg Evigan,8000000,8143225,99
Sea of Love,R,Crime,1989,6.8,Harold Becker,Richard Price,Al Pacino,19000000,110879513,113
Skin Deep,R,Comedy,1989,6.1,Blake Edwards,Blake Edwards,John Ritter,9000000,19674852,101
K-9,PG-13,Action,1989,6,Rod Daniel,Steven Siegel,Jim Belushi,17000000,78247647,101
Lean on Me,PG-13,Drama,1989,7.4,John G. Avildsen,Michael Schiffer,Morgan Freeman,10000000,31906454,108
Henry V,PG-13,Action,1989,7.5,Kenneth Branagh,William Shakespeare,Kenneth Branagh,9000000,10161099,137
She's Out of Control,PG,Comedy,1989,5.4,Stan Dragoti,Seth Winston,Tony Danza,,12065892,90
Friday the 13th Part VIII: Jason Takes Manhattan,R,Adventure,1989,4.6,Rob Hedden,Rob Hedden,Jensen Daggett,5000000,14343976,100
Teen Witch,PG-13,Comedy,1989,6.1,Dorian Walker,Robin Menken,Robyn Lively,,27843,90
Valmont,R,Drama,1989,7,Milos Forman,Choderlos de Laclos,Colin Firth,33000000,1132112,137
Scandal,R,Drama,1989,6.5,Michael Caton-Jones,Michael Thomas,John Hurt,7000000,8800000,106
The Fabulous Baker Boys,R,Comedy,1989,6.9,Steve Kloves,Steve Kloves,Jeff Bridges,13000000,18428904,114
Shocker,R,Comedy,1989,5.5,Wes Craven,Wes Craven,Michael Murphy,5000000,16554699,109
Next of Kin,R,Action,1989,5.8,John Irvin,Michael Jenning,Patrick Swayze,12000000,15942628,108
The Fly II,R,Drama,1989,5.1,Chris Walas,Mick Garris,Eric Stoltz,,38903179,105
She-Devil,PG-13,Comedy,1989,5.6,Susan Seidelman,Fay Weldon,Meryl Streep,,15351421,99
Mystery Train,R,Comedy,1989,7.6,Jim Jarmusch,Jim Jarmusch,Masatoshi Nagase,2800000,1544973,110
Blaze,R,Biography,1989,6,Ron Shelton,Blaze Starr,Paul Newman,22000000,19131246,120
The Rainbow,R,Action,1989,6.2,Ken Russell,Ken Russell,Sammi Davis,11987578,444055,113
Gleaming the Cube,PG-13,Action,1989,6.3,Graeme Clifford,Michael Tolkin,Christian Slater,10000000,2777280,105
Fletch Lives,PG,Comedy,1989,6.1,Michael Ritchie,Gregory McDonald,Chevy Chase,8000000,39450960,95
Communion,R,Biography,1989,5.6,Philippe Mora,Whitley Strieber,Christopher Walken,5000000,1919653,107
Erik the Viking,PG-13,Comedy,1989,6.2,Terry Jones,Terry Jones,Tim Robbins,,1932642,107
Crimes and Misdemeanors,PG-13,Comedy,1989,7.9,Woody Allen,Woody Allen,Martin Landau,19000000,18254702,104
An Innocent Man,R,Action,1989,6.5,Peter Yates,Larry Brothers,Tom Selleck,,20047604,113
Let It Ride,PG-13,Comedy,1989,6.8,Joe Pytka,Jay Cronley,Richard Dreyfuss,18000000,4973285,90
Loverboy,PG-13,Comedy,1989,6.1,Joan Micklin Silver,Robin Schiff,Patrick Dempsey,,3960327,98
Kill Me Again,R,Action,1989,6.3,John Dahl,John Dahl,Val Kilmer,4000000,283694,94
The Gods Must Be Crazy II,PG,Comedy,1989,6.9,Jamie Uys,Jamie Uys,N!xau,,6291444,98
Millennium,PG-13,Drama,1989,5.8,Michael Anderson,John Varley,Kris Kristofferson,,5777099,108
Chances Are,PG,Comedy,1989,6.5,Emile Ardolino,Perry Howze,Cybill Shepherd,16000000,16278590,108
The Dream Team,PG-13,Comedy,1989,6.5,Howard Zieff,Jon Connolly,Michael Keaton,15000000,28890240,113
Last Exit to Brooklyn,R,Drama,1989,6.8,Uli Edel,Hubert Selby Jr.,Jennifer Jason Leigh,,1730005,102
Little Nemo: Adventures in Slumberland,G,Animation,1989,7.1,Masami Hata,Chris Columbus,Gabriel Damon,35000000,1368000,85
Kinjite: Forbidden Subjects,R,Action,1989,5.5,J. Lee Thompson,Harold Nebenzal,Charles Bronson,5000000,3416846,97
Great Balls of Fire!,PG-13,Biography,1989,6.2,Jim McBride,Myra Lewis,Dennis Quaid,,13741060,108
New York Stories,PG,Comedy,1989,6.4,Woody Allen,Richard Price,Woody Allen,15000000,10763469,124
Cousins,PG-13,Comedy,1989,6.3,Joel Schumacher,Jean-Charles Tacchella,Ted Danson,13000000,22026369,113
Blind Fury,R,Action,1989,6.4,Phillip Noyce,Ryôzô Kasahara,Rutger Hauer,10000000,2692037,86
The Return of Swamp Thing,PG-13,Action,1989,4.7,Jim Wynorski,Neil Cuthbert,Dick Durock,4000000,192816,88
The January Man,R,Action,1989,5.6,Pat O'Connor,John Patrick Shanley,Kevin Kline,,4611062,97
We're No Angels,PG-13,Comedy,1989,6.1,Neil Jordan,David Mamet,Robert De Niro,20000000,10555348,106
Johnny Handsome,R,Crime,1989,6.1,Walter Hill,John Godey,Mickey Rourke,20000000,7237794,94
Who's Harry Crumb?,PG-13,Comedy,1989,5.9,Paul Flaherty,Robert Conte,John Candy,,10982364,94
The Mighty Quinn,R,Action,1989,6,Carl Schenkel,Albert Z. Carr,Denzel Washington,,4557214,98
Fat Man and Little Boy,PG-13,Biography,1989,6.5,Roland Joffé,Bruce Robinson,Paul Newman,30000000,3563162,127
Police Academy 6: City Under Siege,PG,Comedy,1989,4.4,Peter Bonerz,Neal Israel,Bubba Smith,12000000,11567217,84
Her Alibi,PG,Comedy,1989,5.8,Bruce Beresford,Charlie Peters,Tom Selleck,,18699037,94
The Blood of Heroes,R,Action,1989,6.5,David Webb Peoples,David Webb Peoples,Rutger Hauer,,882290,90
Pink Cadillac,PG-13,Action,1989,5.4,Buddy Van Horn,John Eskow,Clint Eastwood,19000000,12143484,122
Three Fugitives,PG-13,Action,1989,6.2,Francis Veber,Francis Veber,Nick Nolte,15000000,40586886,96
Robot Jox,PG,Action,1989,5.4,Stuart Gordon,Stuart Gordon,Gary Graham,10000000,1272977,85
No Holds Barred,PG-13,Action,1989,4.4,Thomas J. Wright,Dennis Hackin,Hulk Hogan,8000000,16093651,93
Family Business,R,Crime,1989,5.7,Sidney Lumet,Vincent Patrick,Sean Connery,,12195695,110
Wicked Stepmother,PG-13,Comedy,1989,4.3,Larry Cohen,Larry Cohen,Bette Davis,2500000,,90
Chattahoochee,R,Biography,1989,6.3,Mick Jackson,James Cresson,Gary Oldman,,259486,98
Stepfather II: Make Room for Daddy,R,Horror,1989,5.7,Jeff Burr,Carolyn Lefcourt,Terry O'Quinn,1500000,1519796,93
Eddie and the Cruisers II: Eddie Lives!,PG-13,Drama,1989,6.2,Jean-Claude Lord,P.F. Kluge,Michael Paré,,536508,104
The Big Picture,PG-13,Comedy,1989,6.2,Christopher Guest,Michael Varhol,Kevin Bacon,5000000,117463,100
Parents,R,Comedy,1989,6.1,Bob Balaban,Christopher Hawthorne,Randy Quaid,3000000,870532,81
Jacknife,R,Drama,1989,6.3,David Hugh Jones,Stephen Metcalfe,Robert De Niro,,2049769,102
Dad,PG,Comedy,1989,6.3,Gary David Goldberg,William Wharton,Jack Lemmon,19000000,27503037,117
Speed Zone,PG,Action,1989,4.5,Jim Drake,Michael Short,Peter Boyle,18000000,3077361,94
How to Get Ahead in Advertising,R,Comedy,1989,6.9,Bruce Robinson,Bruce Robinson,Richard E. Grant,,418053,90
Lisa,PG-13,Drama,1989,6,Gary Sherman,Gary Sherman,Staci Keanan,,4347648,95
Out Cold,R,Comedy,1989,5.5,Malcolm Mowbray,Leonard Glasser,John Lithgow,,294266,92
Longtime Companion,R,Drama,1989,7.6,Norman René,Craig Lucas,Stephen Caffrey,3000000,4609953,96
Happily Ever After,G,Animation,1989,5.6,John Howley,Martha Moran,Edward Asner,,3299382,75
Heart of Dixie,PG,Drama,1989,5.2,Martin Davidson,Anne Rivers Siddons,Ally Sheedy,8000000,1097333,95
Tap,PG-13,Comedy,1989,6.5,Nick Castle,Nick Castle,Gregory Hines,,9114702,111
A Dry White Season,R,Drama,1989,7,Euzhan Palcy,André P. Brink,Donald Sutherland,9000000,3766879,106
The Phantom of the Opera,R,Drama,1989,5.5,Dwight H. Little,Gaston Leroux,Robert Englund,,3953745,93
The Experts,PG-13,Comedy,1989,4.8,Dave Thomas,Steven Greene,John Travolta,,169203,94
Triumph of the Spirit,R,Biography,1989,6.8,Robert M. Young,Shimon Arama,Willem Dafoe,,408839,120
The Unbelievable Truth,R,Comedy,1989,7.3,Hal Hartley,Hal Hartley,Adrienne Shelly,75000,,90
True Believer,R,Crime,1989,6.7,Joseph Ruben,Wesley Strick,James Woods,,8742750,108
The Horror Show,R,Horror,1989,5,James Isaac,Allyn Warner,Lance Henriksen,3000000,1738897,95
The Tall Guy,R,Comedy,1989,6.2,Mel Smith,Richard Curtis,Jeff Goldblum,,510712,92
The Toxic Avenger Part II,R,Action,1989,5.1,Michael Herz,Lloyd Kaufman,Ron Fazio,2300000,792966,102
Dead Bang,R,Action,1989,6.1,John Frankenheimer,Robert Foster,Don Johnson,14500000,8125592,102
Music Box,PG-13,Crime,1989,7.4,Costa-Gavras,Joe Eszterhas,Jessica Lange,,6263883,124
Gross Anatomy,PG-13,Drama,1989,6.1,Thom Eberhardt,Mark Spragg,Matthew Modine,8500000,11604598,109
Violent Cop,Not Rated,Action,1989,7.2,Takeshi Kitano,Hisashi Nozawa,Takeshi Kitano,,,103
Renegades,R,Action,1989,5.4,Jack Sholder,David Rich,Kiefer Sutherland,16000000,9015164,106
Sing,PG-13,Drama,1989,6.9,Richard Baskin,Dean Pitchford,Lorraine Bracco,11500000,2260616,98
Sweetie,R,Comedy,1989,6.8,Jane Campion,Gerard Lee,Geneviève Lemon,,938562,97
Listen to Me,PG-13,Drama,1989,5.3,Douglas Day Stewart,Douglas Day Stewart,Kirk Cameron,,4299023,107
Miss Firecracker,PG,Comedy,1989,6,Thomas Schlamme,Beth Henley,Holly Hunter,,1852655,102
The Rachel Papers,R,Drama,1989,6.1,Damian Harris,Damian Harris,Dexter Fletcher,,201468,95
Wired,R,Biography,1989,3.7,Larry Peerce,Bob Woodward,Michael Chiklis,,1089000,112
Lost Angels,R,Drama,1989,6,Hugh Hudson,Michael Weller,Donald Sutherland,,1247946,116
Jesus of Montreal,R,Drama,1989,7.5,Denys Arcand,Denys Arcand,Lothaire Bluteau,,1601612,120
Rooftops,R,Action,1989,4.8,Robert Wise,Allan A. Goldstein,Jason Gedrick,,2043889,98
After Midnight,R,Horror,1989,5.5,Jim Wheat,Ken Wheat,Jillian McWhirter,3000000,76325,90
Disorganized Crime,R,Action,1989,6.3,Jim Kouf,Jim Kouf,Hoyt Axton,,7723506,98
Slaves of New York,R,Comedy,1989,5.7,James Ivory,Tama Janowitz,Bernadette Peters,,463972,124
Damned River,R,Action,1989,5,Michael Schroeder,John Crowther,Stephen Shellen,5000000,,95
My Twentieth Century,,Comedy,1989,7.1,Ildikó Enyedi,Ildikó Enyedi,Dorota Segda,,,104
Scenes from the Class Struggle in Beverly Hills,R,Comedy,1989,6,Paul Bartel,Paul Bartel,Jacqueline Bisset,,2156471,103
The Terror Within,R,Horror,1989,4.8,Thierry Notz,Thomas McKelvey Cleaver,Andrew Stevens,,858591,88
Farewell to the King,PG-13,Action,1989,6.3,John Milius,Pierre Schoendoerffer,Nick Nolte,20000000,2420917,117
See You in the Morning,PG-13,Drama,1989,5.8,Alan J. Pakula,Alan J. Pakula,Jeff Bridges,,4795009,119
"I, Madman",R,Fantasy,1989,6,Tibor Takács,David Chaskin,Jenny Wright,,,89
Immediate Family,PG-13,Drama,1989,6,Jonathan Kaplan,Barbara Benedek,Glenn Close,14000000,5932613,95
